#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.101616E+04   0.262115E+01   0.298742E-02   0.262115E+01   0.308803E-01  -0.122364E-04   0.298742E-02  -0.122364E-04   0.501364E-07
     3   0.962787E+03   0.293985E+01   0.298650E-02   0.293985E+01   0.396865E-01  -0.131247E-04   0.298650E-02  -0.131247E-04   0.609959E-07
     4   0.911426E+03   0.275836E+01   0.291149E-02   0.275836E+01   0.344905E-01  -0.111104E-04   0.291149E-02  -0.111104E-04   0.702610E-07
     5   0.873146E+03   0.235028E+01   0.280979E-02   0.235028E+01   0.230856E-01  -0.757236E-05   0.280979E-02  -0.757236E-05   0.782940E-07
     6   0.847087E+03   0.189413E+01   0.270151E-02   0.189413E+01   0.129389E-01  -0.368102E-05   0.270151E-02  -0.368102E-05   0.853041E-07
     7   0.830608E+03   0.148886E+01   0.259620E-02   0.148886E+01   0.698343E-02  -0.330323E-06   0.259620E-02  -0.330323E-06   0.914756E-07
     8   0.820793E+03   0.117791E+01   0.249403E-02   0.117791E+01   0.447957E-02   0.191032E-05   0.249403E-02   0.191032E-05   0.969365E-07
     9   0.816290E+03   0.966728E+00   0.239369E-02   0.966728E+00   0.357586E-02   0.283595E-05   0.239369E-02   0.283595E-05   0.101796E-06
    10   0.815662E+03   0.847346E+00   0.229711E-02   0.847346E+00   0.304119E-02   0.262370E-05   0.229711E-02   0.262370E-05   0.106125E-06
    11   0.817529E+03   0.802398E+00   0.220860E-02   0.802398E+00   0.255578E-02   0.171662E-05   0.220860E-02   0.171662E-05   0.110016E-06
    12   0.822624E+03   0.812916E+00   0.212721E-02   0.812916E+00   0.223083E-02   0.583535E-06   0.212721E-02   0.583535E-06   0.113472E-06
    13   0.829048E+03   0.855288E+00   0.205553E-02   0.855288E+00   0.214009E-02  -0.445346E-06   0.205553E-02  -0.445346E-06   0.116597E-06
    14   0.836635E+03   0.908446E+00   0.198629E-02   0.908446E+00   0.222317E-02  -0.117805E-05   0.198629E-02  -0.117805E-05   0.119379E-06
    15   0.844338E+03   0.964856E+00   0.191996E-02   0.964856E+00   0.239875E-02  -0.148939E-05   0.191996E-02  -0.148939E-05   0.121892E-06
    16   0.853938E+03   0.102604E+01   0.185387E-02   0.102604E+01   0.264690E-02  -0.131685E-05   0.185387E-02  -0.131685E-05   0.124141E-06
    17   0.865282E+03   0.108948E+01   0.178967E-02   0.108948E+01   0.301021E-02  -0.827971E-06   0.178967E-02  -0.827971E-06   0.126152E-06
    18   0.877226E+03   0.115391E+01   0.172988E-02   0.115391E+01   0.353235E-02  -0.253064E-06   0.172988E-02  -0.253064E-06   0.127959E-06
    19   0.890531E+03   0.122253E+01   0.167434E-02   0.122253E+01   0.421690E-02   0.158216E-06   0.167434E-02   0.158216E-06   0.129573E-06
    20   0.903583E+03   0.129029E+01   0.162225E-02   0.129029E+01   0.504136E-02   0.223416E-06   0.162225E-02   0.223416E-06   0.131003E-06
    21   0.917082E+03   0.136179E+01   0.157300E-02   0.136179E+01   0.599926E-02   0.482712E-07   0.157300E-02   0.482712E-07   0.132268E-06
    22   0.931054E+03   0.143737E+01   0.152610E-02   0.143737E+01   0.710154E-02  -0.206432E-06   0.152610E-02  -0.206432E-06   0.133392E-06
    23   0.945115E+03   0.151436E+01   0.148138E-02   0.151436E+01   0.834037E-02  -0.447879E-06   0.148138E-02  -0.447879E-06   0.134382E-06
    24   0.959584E+03   0.158937E+01   0.143878E-02   0.158937E+01   0.971284E-02  -0.619062E-06   0.143878E-02  -0.619062E-06   0.135245E-06
    25   0.974596E+03   0.165459E+01   0.139820E-02   0.165459E+01   0.112236E-01  -0.738223E-06   0.139820E-02  -0.738223E-06   0.135993E-06
    26   0.989660E+03   0.171370E+01   0.135952E-02   0.171370E+01   0.128849E-01  -0.824774E-06   0.135952E-02  -0.824774E-06   0.136638E-06
    27   0.100518E+04   0.176748E+01   0.132239E-02   0.176748E+01   0.147077E-01  -0.827564E-06   0.132239E-02  -0.827564E-06   0.137187E-06
    28   0.102100E+04   0.181120E+01   0.128654E-02   0.181120E+01   0.166859E-01  -0.699651E-06   0.128654E-02  -0.699651E-06   0.137649E-06
    29   0.103702E+04   0.184988E+01   0.125218E-02   0.184988E+01   0.188459E-01  -0.481485E-06   0.125218E-02  -0.481485E-06   0.138022E-06
    30   0.105345E+04   0.187688E+01   0.121955E-02   0.187688E+01   0.212160E-01  -0.245147E-06   0.121955E-02  -0.245147E-06   0.138309E-06
    31   0.106968E+04   0.190299E+01   0.118853E-02   0.190299E+01   0.237928E-01  -0.101854E-06   0.118853E-02  -0.101854E-06   0.138520E-06
    32   0.108651E+04   0.192315E+01   0.115892E-02   0.192315E+01   0.265921E-01  -0.140553E-06   0.115892E-02  -0.140553E-06   0.138668E-06
